id,phrase,partofspeech,category
11246,receiv call,phrase,jobngram
11247,provide reminders,phrase,jobngram
11248,take dictation,phrase,jobngram
11249,take dictat,phrase,jobngram
11250,carry out an efficient documentation,phrase,jobngram
11251,carri out an effici document,phrase,jobngram
11252,full comprehension,phrase,jobngram
11253,full comprehens,phrase,jobngram
11254,exemplary planning,phrase,jobngram
11255,exemplari plan,phrase,jobngram
11256,office gadgets,phrase,jobngram
11257,offic gadget,phrase,jobngram
11258,daily workload,phrase,jobngram
11259,daili workload,phrase,jobngram
11260,arrange new meetings,phrase,jobngram
11261,arrang new meet,phrase,jobngram
11262,facilitate the completion,phrase,jobngram
11263,facilit the complet,phrase,jobngram
11264,office organization,phrase,jobngram
11265,offic organ,phrase,jobngram
11266,optimization techniques,phrase,jobngram
11267,optim techniqu,phrase,jobngram
11268,time management capability,phrase,jobngram
11269,time manag capabl,phrase,jobngram
11270,including distribution operations,phrase,jobngram
11271,includ distribut oper,phrase,jobngram
11272,develop forecasts,phrase,jobngram
11273,allocate funds,phrase,jobngram
11274,alloc fund,phrase,jobngram
11275,meet challenges,phrase,jobngram
11276,meet challeng,phrase,jobngram
11277,leverage growth opportunities,phrase,jobngram
11278,leverag growth opportun,phrase,jobngram
11279,employee satisfaction issues,phrase,jobngram
11280,employe satisfact issu,phrase,jobngram
11281,improve the presence,phrase,jobngram
11282,improv the presenc,phrase,jobngram
11283,competing markets,phrase,jobngram
11284,compet market,phrase,jobngram
11285,provide reports,phrase,jobngram
11286,provid report,phrase,jobngram
11287,sufficient knowledge,phrase,jobngram
11288,suffici knowledg,phrase,jobngram
11289,modern management,phrase,jobngram
11290,modern manag,phrase,jobngram
11291,sales targets,phrase,jobngram
11292,sale target,phrase,jobngram
11293,production goals,phrase,jobngram
11294,product goal,phrase,jobngram
11295,s rules,phrase,jobngram
11296,s rule,phrase,jobngram
11297,excellent organisational skills,phrase,jobngram
11298,excel organis skill,phrase,jobngram
11299,improve operational systems,phrase,jobngram
11300,improv oper system,phrase,jobngram
11301,guarantee organisational being,phrase,jobngram
11302,guarante organis be,phrase,jobngram
11303,ensure warehouse efficiency,phrase,jobngram
11304,ensur warehous effici,phrase,jobngram
11305,improve profitability,phrase,jobngram
11306,improv profit,phrase,jobngram
11307,perform quality controls,phrase,jobngram
11308,perform qualiti control,phrase,jobngram
11309,monitor production s,phrase,jobngram
11310,monitor product s,phrase,jobngram
11311,appraise human resources,phrase,jobngram
11312,apprais human resourc,phrase,jobngram
11313,or s concerns,phrase,jobngram
11314,or s concern,phrase,jobngram
11315,adequate knowledge,phrase,jobngram
11316,adequ knowledg,phrase,jobngram
11317,organisational effectiveness,phrase,jobngram
11318,organis effect,phrase,jobngram
11319,operations management,phrase,jobngram
11320,oper manag,phrase,jobngram
11321,budget development,phrase,jobngram
11322,budget develop,phrase,jobngram
11323,oversight experience,phrase,jobngram
11324,oversight experi,phrase,jobngram
11325,organisational skills,phrase,jobngram
11326,organis skill,phrase,jobngram
11327,source office supplies,phrase,jobngram
11328,sourc offic suppli,phrase,jobngram
11329,english proficiency,phrase,jobngram
11330,english profici,phrase,jobngram
11331,communications skills,phrase,jobngram
11332,pa diploma,phrase,jobngram
11333,making regular visits,phrase,jobngram
11334,make regular visit,phrase,jobngram
11335,projected revenues,phrase,jobngram
11336,project revenu,phrase,jobngram
11337,make recommendations,phrase,jobngram
11338,grow market share,phrase,jobngram
11339,improve customer experience,phrase,jobngram
11340,improv custom experi,phrase,jobngram
11341,delivers value,phrase,jobngram
11342,deliv valu,phrase,jobngram
11343,grow a strong team,phrase,jobngram
11344,maintain profit margins,phrase,jobngram
11345,maintain profit margin,phrase,jobngram
11346,implement business plan,phrase,jobngram
11347,entrepreneurial mindset,phrase,jobngram
11348,entrepreneuri mindset,phrase,jobngram
11349,clear thinking,phrase,jobngram
11350,clear think,phrase,jobngram
11351,business development,phrase,jobngram
11352,busi develop,phrase,jobngram
11353,strategy implementation knowledge,phrase,jobngram
11354,strategi implement knowledg,phrase,jobngram
11355,decision making skills,phrase,jobngram
11356,decis make skill,phrase,jobngram
11357,drive growth,phrase,jobngram
11358,excellent customer,phrase,jobngram
11359,excel custom,phrase,jobngram
11360,relationship management skills,phrase,jobngram
11361,relationship manag skill,phrase,jobngram
11362,inputting text,phrase,jobngram
11363,input text,phrase,jobngram
11364,verify accuracy,phrase,jobngram
11365,prepare source data,phrase,jobngram
11366,correct any incompatibilities,phrase,jobngram
11367,correct ani incompat,phrase,jobngram
11368,check output,phrase,jobngram
11369,completed work,phrase,jobngram
11370,complet work,phrase,jobngram
11371,perform backup operations,phrase,jobngram
11372,perform backup oper,phrase,jobngram
11373,data programs,phrase,jobngram
11374,data program,phrase,jobngram
11375,set strategic goals,phrase,jobngram
11376,set strateg goal,phrase,jobngram
11377,monitor the day running,phrase,jobngram
11378,monitor the day run,phrase,jobngram
11379,ensure smooth progress,phrase,jobngram
11380,ensur smooth progress,phrase,jobngram
11381,provide constructive feedback,phrase,jobngram
11382,provid construct feedback,phrase,jobngram
11383,evaluate regularly the efficiency,phrase,jobngram
11384,evalu regularli the effici,phrase,jobngram
11385,apply improvements,phrase,jobngram
11386,appli improv,phrase,jobngram
11387,manage procurement processes,phrase,jobngram
11388,manag procur process,phrase,jobngram
11389,coordinate material,phrase,jobngram
11390,coordin materi,phrase,jobngram
11391,oversee customer support,phrase,jobngram
11392,overse custom support,phrase,jobngram
11393,enhance customer satisfaction,phrase,jobngram
11394,enhanc custom satisfact,phrase,jobngram
11395,review financial information,phrase,jobngram
11396,adjust operational budgets,phrase,jobngram
11397,adjust oper budget,phrase,jobngram
11398,promote profitability,phrase,jobngram
11399,promot profit,phrase,jobngram
11400,formulate policies,phrase,jobngram
11401,formul polici,phrase,jobngram
11402,promote their implementation,phrase,jobngram
11403,promot their implement,phrase,jobngram
11404,evaluate overall performance,phrase,jobngram
11405,evalu overal perform,phrase,jobngram
11406,leadership abilities,phrase,jobngram
11407,leadership abil,phrase,jobngram
11408,s legal rules,phrase,jobngram
11409,s legal rule,phrase,jobngram
11410,diverse business functions,phrase,jobngram
11411,divers busi function,phrase,jobngram
11412,supply chain,phrase,jobngram
11413,suppli chain,phrase,jobngram
11414,operation metrics,phrase,jobngram
11415,oper metric,phrase,jobngram
11416,various business,phrase,jobngram
11417,variou busi,phrase,jobngram
11418,quality business strategies,phrase,jobngram
11419,qualiti busi strategi,phrase,jobngram
11420,ensuring their alignment,phrase,jobngram
11421,ensur their align,phrase,jobngram
11422,advance employee engagement,phrase,jobngram
11423,advanc employe engag,phrase,jobngram
11424,develop a high performing,phrase,jobngram
11425,develop a high perform,phrase,jobngram
11426,produce the desired results,phrase,jobngram
11427,produc the desir result,phrase,jobngram
11428,make quality,phrase,jobngram
11429,make qualiti,phrase,jobngram
11430,investing decisions,phrase,jobngram
11431,invest decis,phrase,jobngram
11432,advance the business,phrase,jobngram
11433,advanc the busi,phrase,jobngram
11434,maintain the s legality,phrase,jobngram
11435,maintain the s legal,phrase,jobngram
11436,devise solutions,phrase,jobngram
11437,devis solut,phrase,jobngram
11438,build trust relations,phrase,jobngram
11439,build trust relat,phrase,jobngram
11440,ensure company survival,phrase,jobngram
11441,ensur compani surviv,phrase,jobngram
11442,maintain a deep knowledge,phrase,jobngram
11443,maintain a deep knowledg,phrase,jobngram
11444,profitable strategies,phrase,jobngram
11445,profit strategi,phrase,jobngram
11446,strong understanding,phrase,jobngram
11447,strong understand,phrase,jobngram
11448,performance management principles,phrase,jobngram
11449,perform manag principl,phrase,jobngram
11450,diverse business,phrase,jobngram
11451,divers busi,phrase,jobngram
11452,finance etc,phrase,jobngram
11453,financ etc,phrase,jobngram
11454,corporate governance,phrase,jobngram
11455,corpor govern,phrase,jobngram
11456,general management,phrase,jobngram
11457,gener manag,phrase,jobngram
11458,public speaking,phrase,jobngram
11459,public speak,phrase,jobngram
11460,promote the s mission,phrase,jobngram
11461,promot the s mission,phrase,jobngram
11462,build an effective team,phrase,jobngram
11463,build an effect team,phrase,jobngram
11464,providing guidance,phrase,jobngram
11465,provid guidanc,phrase,jobngram
11466,subordinate managersensure adherence,phrase,jobngram
11467,subordin managersensur adher,phrase,jobngram
11468,fundraising effortsforge,phrase,jobngram
11469,fundrais effortsforg,phrase,jobngram
11470,strengthen its profilereview reports,phrase,jobngram
11471,strengthen it profilereview report,phrase,jobngram
11472,acquire understanding,phrase,jobngram
11473,acquir understand,phrase,jobngram
11474,conduct crisis management,phrase,jobngram
11475,conduct crisi manag,phrase,jobngram
11476,successful fundraising,phrase,jobngram
11477,success fundrais,phrase,jobngram
11478,networking techniques,phrase,jobngram
11479,network techniqu,phrase,jobngram
11480,thinking,phrase,jobngram
11481,think,phrase,jobngram
11482,outstanding organization,phrase,jobngram
11483,outstand organ,phrase,jobngram
11484,s business strategies,phrase,jobngram
11485,s busi strategi,phrase,jobngram
11486,attain the goals,phrase,jobngram
11487,attain the goal,phrase,jobngram
11488,have accurate view,phrase,jobngram
11489,have accur view,phrase,jobngram
11490,comprehensive business plans,phrase,jobngram
11491,comprehens busi plan,phrase,jobngram
11492,facilitate achievement,phrase,jobngram
11493,facilit achiev,phrase,jobngram
11494,planning effective operations,phrase,jobngram
11495,plan effect oper,phrase,jobngram
11496,market development activities,phrase,jobngram
11497,market develop activ,phrase,jobngram
11498,ensure company policies,phrase,jobngram
11499,ensur compani polici,phrase,jobngram
11500,maintain trust relationships,phrase,jobngram
11501,maintain trust relationship,phrase,jobngram
11502,drive maximum performance,phrase,jobngram
11503,drive maximum perform,phrase,jobngram
11504,submitted reports,phrase,jobngram
11505,reward performance,phrase,jobngram
11506,reward perform,phrase,jobngram
11507,strengthen its profile,phrase,jobngram
11508,strengthen it profil,phrase,jobngram
11509,demonstrable experience,phrase,jobngram
11510,demonstr experi,phrase,jobngram
11511,business plans,phrase,jobngram
11512,busi plan,phrase,jobngram
11513,market changes,phrase,jobngram
11514,market chang,phrase,jobngram
11515,corporate law,phrase,jobngram
11516,corpor law,phrase,jobngram
11517,solving abilities,phrase,jobngram
11518,developing and implementing plans,phrase,jobngram
11519,develop and implement plan,phrase,jobngram
11520,coordinate and supervise daily operations,phrase,jobngram
11521,coordin and supervis daili oper,phrase,jobngram
11522,staffing responsibilities,phrase,jobngram
11523,staf respons,phrase,jobngram
11524,evaluating etc,phrase,jobngram
11525,evalu etc,phrase,jobngram
11526,relevant regulations,phrase,jobngram
11527,relev regul,phrase,jobngram
11528,quality standards,phrase,jobngram
11529,qualiti standard,phrase,jobngram
11530,relational databases,phrase,jobngram
11531,relat databas,phrase,jobngram
11532,implement policies,phrase,jobngram
11533,develop improvements,phrase,jobngram
11534,oversee resource allocation,phrase,jobngram
11535,overse resourc alloc,phrase,jobngram
11536,provide guidance,phrase,jobngram
11537,subordinate staff,phrase,jobngram
11538,subordin staff,phrase,jobngram
11539,resolve issues,phrase,jobngram
11540,business functions,phrase,jobngram
11541,busi function,phrase,jobngram
11542,fiscal planning,phrase,jobngram
11543,fiscal plan,phrase,jobngram
11544,leaderships skills,phrase,jobngram
11545,implement business strategies,phrase,jobngram
11546,implement busi strategi,phrase,jobngram
11547,set comprehensive goals,phrase,jobngram
11548,set comprehens goal,phrase,jobngram
11549,establish policies,phrase,jobngram
11550,promote company culture,phrase,jobngram
11551,promot compani cultur,phrase,jobngram
11552,encourage maximum performance,phrase,jobngram
11553,encourag maximum perform,phrase,jobngram
11554,marketing etc,phrase,jobngram
11555,market etc,phrase,jobngram
11556,demonstrable competency,phrase,jobngram
11557,demonstr compet,phrase,jobngram
11558,business infrastructure,phrase,jobngram
11559,busi infrastructur,phrase,jobngram
11560,maintain contact lists,phrase,jobngram
11561,maintain contact list,phrase,jobngram
11562,regularly scheduled reports,phrase,jobngram
11563,regularli schedul report,phrase,jobngram
11564,book travel arrangements,phrase,jobngram
11565,book travel arrang,phrase,jobngram
11566,excellent time,phrase,jobngram
11567,excel time,phrase,jobngram
11568,prioritise work,phrase,jobngram
11569,prioritis work,phrase,jobngram
11570,problem solving skills,phrase,jobngram
11571,problem solv skill,phrase,jobngram
11572,planning skills,phrase,jobngram
11573,plan skill,phrase,jobngram
11574,office manager duties,phrase,jobngram
11575,offic manag duti,phrase,jobngram
11576,including maintenance,phrase,jobngram
11577,includ mainten,phrase,jobngram
11578,maintain office policies,phrase,jobngram
11579,maintain offic polici,phrase,jobngram
11580,manage office g,phrase,jobngram
11581,manag offic g,phrase,jobngram
11582,ensure accurate,phrase,jobngram
11583,ensur accur,phrase,jobngram
11584,office management responsibilities,phrase,jobngram
11585,offic manag respons,phrase,jobngram
11586,maintain legacy systems,phrase,jobngram
11587,maintain legaci system,phrase,jobngram
11588,database usage issues,phrase,jobngram
11589,databas usag issu,phrase,jobngram
11590,improve applications,phrase,jobngram
11591,improv applic,phrase,jobngram
11592,identify new features,phrase,jobngram
11593,identifi new featur,phrase,jobngram
11594,data management support,phrase,jobngram
11595,data manag support,phrase,jobngram
11596,ensure all database programs,phrase,jobngram
11597,ensur all databas program,phrase,jobngram
11598,meet company,phrase,jobngram
11599,meet compani,phrase,jobngram
11600,suggest new database products,phrase,jobngram
11601,suggest new databas product,phrase,jobngram
11602,data management,phrase,jobngram
11603,data manag,phrase,jobngram
11604,software development,phrase,jobngram
11605,softwar develop,phrase,jobngram
11606,net framework,phrase,jobngram
11607,organization skills,phrase,jobngram
11608,organ skill,phrase,jobngram
11609,end users,phrase,jobngram
11610,end user,phrase,jobngram
11611,solving attitude,phrase,jobngram
11612,solv attitud,phrase,jobngram
11613,use markup languages,phrase,jobngram
11614,use markup languag,phrase,jobngram
11615,create friendly web pages,phrase,jobngram
11616,creat friendli web page,phrase,jobngram
11617,improve website,phrase,jobngram
11618,improv websit,phrase,jobngram
11619,improve usability,phrase,jobngram
11620,improv usabl,phrase,jobngram
11621,get feedback,phrase,jobngram
11622,build solutions,phrase,jobngram
11623,build solut,phrase,jobngram
11624,create quality mockups,phrase,jobngram
11625,creat qualiti mockup,phrase,jobngram
11626,help end developers,phrase,jobngram
11627,help end develop,phrase,jobngram
11628,ensure high quality,phrase,jobngram
11629,emerging technologies,phrase,jobngram
11630,emerg technolog,phrase,jobngram
11631,markup languages,phrase,jobngram
11632,markup languag,phrase,jobngram
11633,browser testing,phrase,jobngram
11634,browser test,phrase,jobngram
11635,entire web,phrase,jobngram
11636,entir web,phrase,jobngram
11637,development process,phrase,jobngram
11638,layout aesthetics,phrase,jobngram
11639,layout aesthet,phrase,jobngram
11640,seo principles,phrase,jobngram
11641,seo principl,phrase,jobngram
11642,adobe suite,phrase,jobngram
11643,adob suit,phrase,jobngram
11644,content management,phrase,jobngram
11645,content manag,phrase,jobngram
11646,paced environment,phrase,jobngram
11647,pace environ,phrase,jobngram
11648,evaluate current systems,phrase,jobngram
11649,identify system requirements,phrase,jobngram
11650,identifi system requir,phrase,jobngram
11651,track additional requirements,phrase,jobngram
11652,track addit requir,phrase,jobngram
11653,produce new systems,phrase,jobngram
11654,produc new system,phrase,jobngram
11655,provide support,phrase,jobngram
11656,ensure deadline,phrase,jobngram
11657,ensur deadlin,phrase,jobngram
11658,business information systems,phrase,jobngram
11659,busi inform system,phrase,jobngram
11660,sap business software applications,phrase,jobngram
11661,sap busi softwar applic,phrase,jobngram
11662,visual basic,phrase,jobngram
11663,technical details,phrase,jobngram
11664,technic detail,phrase,jobngram
11665,excellent analytical skills,phrase,jobngram
11666,excel analyt skill,phrase,jobngram
11667,good solving attitude,phrase,jobngram
11668,good solv attitud,phrase,jobngram
11669,computer science,phrase,jobngram
11670,comput scienc,phrase,jobngram
11671,relevant field,phrase,jobngram
11672,relev field,phrase,jobngram
11673,define configuration specifications,phrase,jobngram
11674,defin configur specif,phrase,jobngram
11675,business requirementsperform quality,phrase,jobngram
11676,busi requirementsperform qualiti,phrase,jobngram
11677,assurancedefine reporting,phrase,jobngram
11678,assurancedefin report,phrase,jobngram
11679,alerting requirementsown,phrase,jobngram
11680,alert requirementsown,phrase,jobngram
11681,enhance our integrationhelp design,phrase,jobngram
11682,enhanc our integrationhelp design,phrase,jobngram
11683,maintain system processesreport,phrase,jobngram
11684,teamcommunicate key insights,phrase,jobngram
11685,teamcommun key insight,phrase,jobngram
11686,improve monitoring,phrase,jobngram
11687,improv monitor,phrase,jobngram
11688,integrate new server hardware,phrase,jobngram
11689,integr new server hardwar,phrase,jobngram
11690,keep an eye,phrase,jobngram
11691,needed updates,phrase,jobngram
11692,need updat,phrase,jobngram
11693,ensure network security,phrase,jobngram
11694,ensur network secur,phrase,jobngram
11695,monitor network performance,phrase,jobngram
11696,set up user accounts,phrase,jobngram
11697,set up user account,phrase,jobngram
11698,define network policies,phrase,jobngram
11699,specify system requirements,phrase,jobngram
11700,specifi system requir,phrase,jobngram
11701,server system administration,phrase,jobngram
11702,server system administr,phrase,jobngram
11703,server infrastructure,phrase,jobngram
11704,server infrastructur,phrase,jobngram
11705,internet vpn,phrase,jobngram
11706,s remote implementation,phrase,jobngram
11707,s remot implement,phrase,jobngram
11708,problem resolution,phrase,jobngram
11709,problem resolut,phrase,jobngram
11710,configure server hardware,phrase,jobngram
11711,configur server hardwar,phrase,jobngram
11712,recovery software,phrase,jobngram
11713,recoveri softwar,phrase,jobngram
11714,bcne training,phrase,jobngram
11715,bcne train,phrase,jobngram
11716,debug system software,phrase,jobngram
11717,debug system softwar,phrase,jobngram
11718,validate new product designs,phrase,jobngram
11719,valid new product design,phrase,jobngram
11720,support software qa,phrase,jobngram
11721,support softwar qa,phrase,jobngram
11722,provide post production,phrase,jobngram
11723,provid post product,phrase,jobngram
11724,on development,phrase,jobngram
11725,on develop,phrase,jobngram
11726,software configuration management tools,phrase,jobngram
11727,softwar configur manag tool,phrase,jobngram
11728,defect tracking,phrase,jobngram
11729,defect track,phrase,jobngram
11730,ip protocols,phrase,jobngram
11731,ip protocol,phrase,jobngram
11732,hardware subsystems,phrase,jobngram
11733,hardwar subsystem,phrase,jobngram
11734,data sheets,phrase,jobngram
11735,data sheet,phrase,jobngram
11736,strong documentation,phrase,jobngram
11737,strong document,phrase,jobngram
11738,writing skills,phrase,jobngram
11739,write skill,phrase,jobngram
11740,use tools,phrase,jobngram
11741,use tool,phrase,jobngram
11742,create representations,phrase,jobngram
11743,creat represent,phrase,jobngram
11744,feasibilitydefine all aspects,phrase,jobngram
11745,feasibilitydefin all aspect,phrase,jobngram
11746,coding standardscommunicate successfully all concepts,phrase,jobngram
11747,code standardscommun success all concept,phrase,jobngram
11748,development teamoversee progress,phrase,jobngram
11749,develop teamoverse progress,phrase,jobngram
11750,ensure consistency,phrase,jobngram
11751,ensur consist,phrase,jobngram
11752,meets all requirements,phrase,jobngram
11753,meet all requir,phrase,jobngram
11754,approve final product,phrase,jobngram
11755,approv final product,phrase,jobngram
11756,performance maintenance activities,phrase,jobngram
11757,perform mainten activ,phrase,jobngram
11758,maintain standards,phrase,jobngram
11759,maintain standard,phrase,jobngram
11760,network management,phrase,jobngram
11761,network manag,phrase,jobngram
11762,wan configuration,phrase,jobngram
11763,wan configur,phrase,jobngram
11764,coordination abilities,phrase,jobngram
11765,coordin abil,phrase,jobngram
11766,comptia,phrase,jobngram
11767,quality data collection,phrase,jobngram
11768,qualiti data collect,phrase,jobngram
11769,ensure adequacy,phrase,jobngram
11770,ensur adequaci,phrase,jobngram
11771,establish rules,phrase,jobngram
11772,establish rule,phrase,jobngram
11773,evaluate their performance,phrase,jobngram
11774,evalu their perform,phrase,jobngram
11775,discover ways,phrase,jobngram
11776,discov way,phrase,jobngram
11777,ensure digital databases,phrase,jobngram
11778,ensur digit databas,phrase,jobngram
11779,authorize maintenance,phrase,jobngram
11780,author mainten,phrase,jobngram
11781,excellent understanding,phrase,jobngram
11782,excel understand,phrase,jobngram
11783,data administration,phrase,jobngram
11784,data administr,phrase,jobngram
11785,management functions,phrase,jobngram
11786,manag function,phrase,jobngram
11787,modern database,phrase,jobngram
11788,modern databas,phrase,jobngram
11789,information system technologies,phrase,jobngram
11790,word etc,phrase,jobngram
11791,collaboration skills,phrase,jobngram
11792,collabor skill,phrase,jobngram
11793,understand client requirements,phrase,jobngram
11794,understand client requir,phrase,jobngram
11795,set specifications,phrase,jobngram
11796,set specif,phrase,jobngram
11797,quality source code,phrase,jobngram
11798,qualiti sourc code,phrase,jobngram
11799,evaluate existing applications,phrase,jobngram
11800,evalu exist applic,phrase,jobngram
11801,add new features,phrase,jobngram
11802,add new featur,phrase,jobngram
11803,develop technical documents,phrase,jobngram
11804,develop technic document,phrase,jobngram
11805,accurately represent application design,phrase,jobngram
11806,accur repres applic design,phrase,jobngram
11807,building applications,phrase,jobngram
11808,build applic,phrase,jobngram
11809,development tools,phrase,jobngram
11810,develop tool,phrase,jobngram
11811,programming principles,phrase,jobngram
11812,program principl,phrase,jobngram
11813,team player,phrase,jobngram
11814,analytical thinking,phrase,jobngram
11815,analyt think,phrase,jobngram
11816,solving capability,phrase,jobngram
11817,solv capabl,phrase,jobngram
11818,application developer,phrase,jobngram
11819,applic develop,phrase,jobngram
11820,set objectives,phrase,jobngram
11821,set object,phrase,jobngram
11822,streamline all internal operations,phrase,jobngram
11823,streamlin all intern oper,phrase,jobngram
11824,customize technological systems,phrase,jobngram
11825,custom technolog system,phrase,jobngram
11826,approve purchases,phrase,jobngram
11827,approv purchas,phrase,jobngram
11828,establish partnerships,phrase,jobngram
11829,ensure optimal performance,phrase,jobngram
11830,ensur optim perform,phrase,jobngram
11831,organize related projects,phrase,jobngram
11832,organ relat project,phrase,jobngram
11833,gain competitive advantage,phrase,jobngram
11834,gain competit advantag,phrase,jobngram
11835,advise management,phrase,jobngram
11836,suggest actions,phrase,jobngram
11837,suggest action,phrase,jobngram
11838,business operations,phrase,jobngram
11839,busi oper,phrase,jobngram
11840,solving capabilities,phrase,jobngram
11841,business mindset,phrase,jobngram
11842,busi mindset,phrase,jobngram
11843,understand customer requirements,phrase,jobngram
11844,understand custom requir,phrase,jobngram
11845,using technology,phrase,jobngram
11846,use technolog,phrase,jobngram
11847,achieve goals,phrase,jobngram
11848,achiev goal,phrase,jobngram
11849,ensuring the right architecture,phrase,jobngram
11850,ensur the right architectur,phrase,jobngram
11851,support new technology implementation,phrase,jobngram
11852,support new technolog implement,phrase,jobngram
11853,existing it systems,phrase,jobngram
11854,exist it system,phrase,jobngram
11855,existing systems,phrase,jobngram
11856,exist system,phrase,jobngram
11857,network problems,phrase,jobngram
11858,network problem,phrase,jobngram
11859,established goals,phrase,jobngram
11860,establish goal,phrase,jobngram
11861,establish it policies,phrase,jobngram
11862,establish it polici,phrase,jobngram
11863,support the implementation,phrase,jobngram
11864,support the implement,phrase,jobngram
11865,determine their technology needs,phrase,jobngram
11866,determin their technolog need,phrase,jobngram
11867,inspect the use,phrase,jobngram
11868,ensure functionality,phrase,jobngram
11869,ensur function,phrase,jobngram
11870,identify the need,phrase,jobngram
11871,identifi the need,phrase,jobngram
11872,coordinate it managers,phrase,jobngram
11873,coordin it manag,phrase,jobngram
11874,supervise computer scientists,phrase,jobngram
11875,supervis comput scientist,phrase,jobngram
11876,creating efficient contracts,phrase,jobngram
11877,creat effici contract,phrase,jobngram
11878,sound understanding,phrase,jobngram
11879,sound understand,phrase,jobngram
11880,networks etc,phrase,jobngram
11881,network etc,phrase,jobngram
11882,information technology budget,phrase,jobngram
11883,inform technolog budget,phrase,jobngram
11884,produce software designs,phrase,jobngram
11885,produc softwar design,phrase,jobngram
11886,transform software designs,phrase,jobngram
11887,transform softwar design,phrase,jobngram
11888,functioning code,phrase,jobngram
11889,function code,phrase,jobngram
11890,create advanced saas,phrase,jobngram
11891,creat advanc saa,phrase,jobngram
11892,produces the desirable results,phrase,jobngram
11893,make software,phrase,jobngram
11894,make softwar,phrase,jobngram
11895,create documentation,phrase,jobngram
11896,creat document,phrase,jobngram
11897,python etc,phrase,jobngram
11898,popular web,phrase,jobngram
11899,spring mvc,phrase,jobngram
11900,orm technologies,phrase,jobngram
11901,orm technolog,phrase,jobngram
11902,excellent concentration,phrase,jobngram
11903,excel concentr,phrase,jobngram
11904,critical thinking,phrase,jobngram
11905,critic think,phrase,jobngram
11906,demonstrable ability,phrase,jobngram
11907,demonstr abil,phrase,jobngram
11908,fix errors,phrase,jobngram
11909,fix error,phrase,jobngram
11910,lifecycle software development,phrase,jobngram
11911,lifecycl softwar develop,phrase,jobngram
11912,determine operational feasibility,phrase,jobngram
11913,determin oper feasibl,phrase,jobngram
11914,integrate software components,phrase,jobngram
11915,integr softwar compon,phrase,jobngram
11916,software verification plans,phrase,jobngram
11917,softwar verif plan,phrase,jobngram
11918,maintain software functionality,phrase,jobngram
11919,maintain softwar function,phrase,jobngram
11920,deploy software tools,phrase,jobngram
11921,deploy softwar tool,phrase,jobngram
11922,interactive applications,phrase,jobngram
11923,interact applic,phrase,jobngram
11924,driven development,phrase,jobngram
11925,driven develop,phrase,jobngram
11926,software engineering tools,phrase,jobngram
11927,softwar engin tool,phrase,jobngram
11928,document requirements,phrase,jobngram
11929,document requir,phrase,jobngram
11930,software development methodology,phrase,jobngram
11931,softwar develop methodolog,phrase,jobngram
11932,release processes,phrase,jobngram
11933,releas process,phrase,jobngram
11934,specialised role,phrase,jobngram
11935,specialis role,phrase,jobngram
11936,users information needs,phrase,jobngram
11937,user inform need,phrase,jobngram
11938,transaction recovery techniques,phrase,jobngram
11939,transact recoveri techniqu,phrase,jobngram
11940,minimise database downtime,phrase,jobngram
11941,minimis databas downtim,phrase,jobngram
11942,provide fast query responses,phrase,jobngram
11943,provid fast queri respons,phrase,jobngram
11944,provide proactive,phrase,jobngram
11945,provid proactiv,phrase,jobngram
11946,ensure data security,phrase,jobngram
11947,ensur data secur,phrase,jobngram
11948,monitor database performance,phrase,jobngram
11949,apply new patches,phrase,jobngram
11950,appli new patch,phrase,jobngram
11951,database standards,phrase,jobngram
11952,databas standard,phrase,jobngram
11953,user applications,phrase,jobngram
11954,user applic,phrase,jobngram
11955,data backup,phrase,jobngram
11956,dba case tools,phrase,jobngram
11957,dba case tool,phrase,jobngram
11958,third party,phrase,jobngram
11959,third parti,phrase,jobngram
11960,provide technical advice,phrase,jobngram
11961,provid technic advic,phrase,jobngram
11962,identify needs,phrase,jobngram
11963,mobilize existing technology,phrase,jobngram
11964,mobil exist technolog,phrase,jobngram
11965,meet their criteria,phrase,jobngram
11966,systems performance level,phrase,jobngram
11967,system perform level,phrase,jobngram
11968,improve capabilities,phrase,jobngram
11969,improv capabl,phrase,jobngram
11970,coordinate telecommunications activities,phrase,jobngram
11971,coordin telecommun activ,phrase,jobngram
11972,prepare budgetary justifications,phrase,jobngram
11973,prepar budgetari justif,phrase,jobngram
11974,develop staff,phrase,jobngram
11975,improve their skills,phrase,jobngram
11976,improv their skill,phrase,jobngram
11977,follow s standards,phrase,jobngram
11978,follow s standard,phrase,jobngram
11979,telecommunications systems,phrase,jobngram
11980,telecommun system,phrase,jobngram
11981,peripheral equipment,phrase,jobngram
11982,peripher equip,phrase,jobngram
11983,computer networks,phrase,jobngram
11984,comput network,phrase,jobngram
11985,optical fiber,phrase,jobngram
11986,optic fiber,phrase,jobngram
11987,site controllers,phrase,jobngram
11988,site control,phrase,jobngram
11989,data modems,phrase,jobngram
11990,data modem,phrase,jobngram
11991,adequate interpersonal,phrase,jobngram
11992,adequ interperson,phrase,jobngram
11993,manage information technology,phrase,jobngram
11994,manag inform technolog,phrase,jobngram
11995,ensure security,phrase,jobngram
11996,ensur secur,phrase,jobngram
11997,appraising their performance,phrase,jobngram
11998,apprais their perform,phrase,jobngram
11999,identify problematic areas,phrase,jobngram
12000,identifi problemat area,phrase,jobngram
12001,assess their outcomes,phrase,jobngram
12002,assess their outcom,phrase,jobngram
